Kind,Name,AvgCyclomatic,MaxCyclomatic,SumCyclomatic,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).errorLoading,,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).executeScriptTags,,,6,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).executeScriptTags.(unnamed+AF8-function+AF8-9),,,4,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).executeScriptTags.(unnamed+AF8-function+AF8-9).matchedScripts.(unnamed+AF8-function+AF8-10),,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).extractContainer,,,13,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).extractContainer.(unnamed+AF8-function+AF8-8),,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).fallbackPjax,,,11,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).fallbackPjax.(unnamed+AF8-function+AF8-5),,,1,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).fallbackPjax.(unnamed+AF8-function+AF8-6),,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).findAll,,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).findContainerFor,,,4,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).findVersion,,,2,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).findVersion.(unnamed+AF8-function+AF8-11),,,1,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).fnPjax,,,3,,,
Unnamed Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).fnPjax.(unnamed+AF8-function+AF8-3),,,2,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).handleClick,,,7,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).handleSubmit,,,4,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).hide,,,2,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).htmlspecialchars,,,0,,,
Function,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).htmlspecialchars,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,2,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,3,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,2,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,2,,,
Public Method,(unnamed+AF8-function+AF8-1).(unnamed+AF8-function+AF8-2).inputTooLong,,,1,,,
